File,Vuln ?,Z3str2,,,,,,S3,,CVC4,
,,Status,t,tp,tn,fp,fn,,,,
BackDoors0,yes,FAIL,0,,,,,,,,
BlindNumericSqlInjection0,yes,FAIL,0,,,,,,,,
BlindStringSqlInjection0,yes,FAIL,0,,,,,,,,
dummy,no,UNSAT,0.007917,1,,,,,,,
dummy,no,UNSAT,0.074071,1,,,,,,,
dummy,no,UNSAT,0.008149,1,,,,,,,
SqlAddData0,yes,,,,,,,,,,
SqlModifyData0,yes,,,,,,,,,,
SqlNumericInjection0,yes,,,,,,,,,,
SqlStringInjection0,yes,,,,,,,,,,
WsSAXInjection0,yes,,,,,,,,,,
WsSqlInjection0,yes,,,,,,,,,,
XPATHInjection0,yes,,,,,,,,,,
XPATHInjection1,yes,,,,,,,,,,
dummy,no,UNSAT,0.007605,1,,,,,,,
CommentDataServlet0,no,,,,,,,,,,
CommentDataServlet1,no,,,,,,,,,,
CommentDataServlet2,no,,,,,,,,,,
CommentDataServlet3,no,,,,,,,,,,
CommentDataServlet4,no,,,,,,,,,,
AuthorizationServlet0,no,,,,,,,,,,
OpenSearchSevlet0,no,,,,,,,,,,
OpenSearchSevlet1,no,,,,,,,,,,
OpenSearchSevlet2,no,,,,,,,,,,
OpenSearchSevlet3,no,,,,,,,,,,
OpenSearchSevlet4,no,,,,,,,,,,
OpenSearchSevlet5,no,,,,,,,,,,
OpenSearchSevlet6,no,,,,,,,,,,
ViewFilesAction0,yes,,,,,,,,,,
ViewFilesAction1,no,,,,,,,,,,
ViewFilesAction2,no,,,,,,,,,,
SaveBlogEntryAction0,yes,,,,,,,,,,
SaveBlogEntryAction1,yes,,,,,,,,,,
SaveBlogEntryAction2,yes,,,,,,,,,,
SaveBlogEntryAction3,yes,,,,,,,,,,
dummy,no,UNSAT,0.008373,1,,,,,,,
HTMLDecorator0,no,,,,,,,,,,
HTMLDecorator1,no,,,,,,,,,,
HTMLDecorator2,no,,,,,,,,,,
HTMLDecorator3,no,,,,,,,,,,
HTMLDecorator4,no,,,,,,,,,,
ListTagSol0,yes,,,,,,,,,,
ListTagSol1,yes,,,,,,,,,,
ListTagSol2,yes,,,,,,,,,,
FileServlet0,no,,,,,,,,,,
FileServlet1,no,,,,,,,,,,
FileServlet2,no,,,,,,,,,,
Subscriber0,no,,,,,,,,,,
Subscriber1,no,,,,,,,,,,
PuSHhandler0,yes,,,,,,,,,,
PuSHhandler1,no,,,,,,,,,,
LdapAuthService0.sol,yes,,,,,,,,,,
dummy,no,UNSAT,0.008067,1,,,,,,,
ChangePaymentMethod_VxA0.sol,no,,,,,,,,,,
ChangePaymentMethod_VxA1.sol,no,,,,,,,,,,
ChangePaymentMethod_VxA2.sol,yes,,,,,,,,,,
ChangePaymentMethod_VxA3.sol,yes,,,,,,,,,,
ChangePaymentMethod_VxA4.sol,no,,,,,,,,,,
ChangePaymentMethod_VxA5.sol,no,,,,,,,,,,
ChangePaymentMethod_VxA6.sol,yes,,,,,,,,,,
dummy,no,UNSAT,0.007347,1,,,,,,,
ProductDetails_VxA0.sol,yes,,,,,,,,,,
dummy,no,,,,,,,,,,
NewProducts_VxA0.sol,yes,,,,,,,,,,
dummy,no,UNSAT,0.008565,1,,,,,,,
Delivery_VxA0.sol,yes,,,,,,,,,,
Delivery_VxA1.sol,yes,,,,,,,,,,
Delivery_VxA2.sol,yes,,,,,,,,,,
Delivery_VxA3.sol,yes,,,,,,,,,,
Delivery_VxA4.sol,yes,,,,,,,,,,
Delivery_VxA5.sol,yes,,,,,,,,,,
Delivery_VxA6.sol,yes,,,,,,,,,,
Delivery_VxA7.sol,yes,,,,,,,,,,
Delivery_VxA8.sol,yes,,,,,,,,,,
Delivery_VxA9.sol,yes,,,,,,,,,,
Delivery_VxA10.sol,yes,,,,,,,,,,
dummy,no,UNSAT,0.008156,1,,,,,,,
OrderStatus_VxA0.sol,yes,,,,,,,,,,
OrderStatus_VxA1.sol,yes,,,,,,,,,,
OrderStatus_VxA2.sol,yes,,,,,,,,,,
OrderStatus_VxA3.sol,yes,,,,,,,,,,
OrderStatus_VxA4.sol,yes,,,,,,,,,,
OrderStatus_VxA5.sol,no,,,,,,,,,,
OrderStatus_VxA6.sol,yes,,,,,,,,,,
OrderStatus_VxA7.sol,yes,,,,,,,,,,
OrderStatus_VxA8.sol,yes,,,,,,,,,,
OrderStatus_VxA9.sol,yes,,,,,,,,,,
OrderStatus_VxA10.sol,yes,,,,,,,,,,
OrderStatus_VxA11.sol,yes,,,,,,,,,,
OrderStatus_VxA12.sol,yes,,,,,,,,,,
OrderStatus_VxA13.sol,yes,,,,,,,,,,
OrderStatus_VxA14.sol,yes,,,,,,,,,,
dummy,no,UNSAT,0.076295,1,,,,,,,
StockLevel_VxA0.sol,yes,,,,,,,,,,
StockLevel_VxA1.sol,yes,,,,,,,,,,
StockLevel_VxA2.sol,no,,,,,,,,,,
StockLevel_VxA3.sol,yes,,,,,,,,,,
StockLevel_VxA4.sol,yes,,,,,,,,,,
dummy,no,UNSAT,0.008103,1,,,,,,,
DoSubjectSearch_VxA0.sol,yes,,,,,,,,,,
dummy,no,UNSAT,0.00749,1,,,,,,,
DoAuthorSearch_VxA0.sol,yes,,,,,,,,,,
dummy,no,UNSAT,0.008992,1,,,,,,,
GetCustomer_VxA0.sol,yes,,,,,,,,,,
